no,location,id,depth,wat_level,elev,tds,ph,ec,k,ca,mg,na,so4,cl,hco3,year,ionbal,coord_x,coord_y,screen,aquifer,facies
7,Obs. Standart Battery,SB 217,90,27.19,9,298,6.8,363,6.8,53.7,14.7,36.1,6.4,43.8,258.6,2007,0.3,426797,9228013,62 - 87,Damar,calcium bicarbonate
2,Obs. STM Perkapalan,SB 211,125,20.39,3,996,8.69,1447,14,29.4,40.7,300,19.3,337,519.7,2007,-0.5,433921,9229898,89 - 92.5,Quaternary marine,sodium chloride
10,Obs. Sumberejo,SP 139,,7,4,668,7.9,1024,3,21.1,2.3,240,29.6,141.6,401.1,2007,2.5,454118,9238622,,Quaternary marine,sodium bicarbonate
4,Obs. Unisula 2,SB 297,107,16.47,2,15947,7.27,23900,17,730.4,1811.7,7200,40.5,15752.8,2262.9,2007,1.8,440317,9231096,85 - 93,Quaternary marine,sodium chloride
53,Pabrik Kembang Gula Sano,SB 36,72,19.65,6,458,7.32,685,8,28,12,135,53.4,21,464.5,1993,-4.8,438200,9226400,60 - 66,Garang,sodium bicarbonate
48,PDAM Manyaran,SB 225,100,56.57,65,614,7.12,900,11.6,52.9,22.1,37,6.5,12.7,352.3,1992,0.8,431850,9226100,54 - 60,Damar,calcium bicarbonate
52,PT Amor Abadi,SB 60,95,16.2,2,484,7.14,690,8,8.1,3.2,140,66.7,36.2,260.7,1992,2,437800,9230350,79 - 91,Garang,sodium bicarbonate
18,PT Sandratex,SB 235,90,24.7,5,816,7.23,1220,16,69.8,32.2,140,47.3,258.4,253.3,2003,0.9,438900,9227100,68 - 73,Quaternary marine,sodium chloride
21,PT Sarana Mina,SB 210,,17.9,4,541,7.82,807,3,15.6,6.6,144,85.8,55.3,275.8,2003,-1.3,445112,9232415,,Garang,sodium bicarbonate
41,PT Wahyu Utomo,SB 325,76,44.6,72,262,6.87,373,6,46.2,13.6,50,70.4,12.4,268.4,1992,-3.8,427950,9226950,48 - 60,Damar,calcium bicarbonate
45,PT. Damaitex,SB 198,125,9,6,814,7.38,1240,14,142.5,12,55,42.6,175.2,275.5,1992,2.5,434400,9226400,,Quaternary marine,calcium chloride
42,PT. Gentong Gotri,SB 190,,22.1,4,669,7.24,1020,15,36.2,34.6,134,15.5,173.6,301.3,1992,3.4,436900,9228050,,Quaternary marine,sodium bicarbonate
36,PT. INAN,SB 273,94,14.4,20,964,7.31,1372,5,8.7,8,150,65.5,136.4,171.4,1992,-1.7,438500,9228100,30 - 42,Quaternary marine,sodium chloride
31,PT. Ny.Meneer-1,SB 185,96,23.37,2,424,7.85,704,6.5,10,6,120,92.5,35.7,222,1992,-1.5,439936,9230800,72 - 96,Garang,sodium bicarbonate
34,PT. Panca Tunggal-1,SB 189,135,12.14,4,1588,7.19,2370,49,65,26.7,428,46.7,761.4,258.9,2003,-2.6,436587,9230642,,Quaternary marine,sodium chloride
38,PT. Sango Keramik,SB 271,65,31.49,25,279,6.94,408,6,41.2,12,30,10.9,13.9,261.7,1992,-4.3,424150,9228400,36-41 & 58-62,Damar,calcium bicarbonate
56,Rowosari,N 2,130,8,38,693,6.87,1259,8,18,21,160,21,25,473,2006,4.8,441549,9218366,"27-33, 34-40, 41-44 & 93-99",Quaternary marine,sodium bicarbonate
23,RRI Kuripan ,SB 282,,23.63,13,611,7.72,911,10,37,9,148,79.7,46.6,362.1,2003,2,450050,9222500,,Quaternary marine,sodium bicarbonate
49,RS Kariadi,SB 92,75,6.8,6,449,7.21,680,7.4,67.6,20.8,50,16.3,43.4,322.4,1992,4.2,434400,9227200,67 - 69,Damar,calcium bicarbonate
9,S. Pantau PT. Kimia Farma,SB 215,152,5.97,18,304,6.46,457,7.5,48.6,22.4,28,11.7,16.6,315.2,2003,-1.7,432811,9225924,77 - 97,Damar,calcium bicarbonate
55,Sendangguwo,N 1,100,27.2,25,384,6.96,694,7.5,68,21,51,16.5,41,326,2006,4.8,439836,9224869,"40-46, 48-54, 56-62 & 86,89 ",Damar,calcium bicarbonate
17,SU Mangunharjo,SB 219,,9.5,1.5,416,7.48,626,9.5,10.7,4.2,115,16.7,127.3,152,2003,-2.4,421500,9229650,,Quaternary marine,sodium chloride
44,"Tambak Udang, Mangkang",SB 206,80,11.57,1,541,7.48,790,12,2.5,9,164,123.5,111.6,169.6,1992,-1.2,423100,9231700,,Quaternary marine,sodium chloride
43,"Tambakharjo, Tugu",SB 256,,4.64,2,1767,7.64,2790,19,10.5,60,320,22,664,117.2,1992,-3,429800,9228600,,Quaternary marine,sodium chloride
57,Tandang,N 3,100,22,19,382,7.13,694,8,69,20.8,55,17,43,336,2006,4.6,438643,9224553,"61-67, 70-73, 76-82 & 88-94",Damar,calcium bicarbonate
